,0,1,2,3,4
0,1050.68,1049.52,1050.56,219.14,0
1,1050.72,1049.56,1050.53,219.92,0
2,1050.67,1049.54,1050.58,218.75,0
3,1050.77,1049.53,1050.66,218.75,0
4,1050.73,1049.53,1050.62,218.36,0
5,1050.72,1049.52,1050.64,218.75,0
6,1050.76,1049.54,1050.68,219.92,0
7,1050.76,1049.55,1050.63,220.31,0
8,1050.69,1049.5,1050.57,218.75,0
9,1050.75,1049.51,1050.6,220.31,0
10,1050.79,1049.53,1050.6,219.53,0
11,1050.71,1049.56,1050.63,218.75,0
12,1050.77,1049.55,1050.62,219.92,0
13,1050.77,1049.6,1050.66,219.92,0
14,1050.7,1049.57,1050.68,217.97,0
15,1050.74,1049.53,1050.66,220.31,0
16,1050.78,1049.52,1050.55,218.75,0
17,1050.76,1049.55,1050.61,218.75,0
18,1050.72,1049.55,1050.59,219.92,0
19,1050.71,1049.56,1050.64,219.14,0
20,1050.75,1049.59,1050.7,218.75,0
21,1050.73,1049.57,1050.69,219.53,0
22,1050.74,1049.54,1050.63,219.14,0
23,1050.77,1049.54,1050.61,220.31,0
24,1050.69,1049.5,1050.6,218.75,0
25,1050.77,1049.56,1050.62,220.31,0
26,1050.78,1049.58,1050.65,220.31,0
27,1050.78,1049.62,1050.67,218.36,0
28,1050.74,1049.59,1050.66,218.36,0
29,1050.76,1049.56,1050.66,219.53,0
30,1050.74,1049.53,1050.65,219.14,0
31,1050.75,1049.53,1050.57,218.36,0
32,1050.72,1049.49,1050.55,219.92,0
33,1050.77,1049.53,1050.61,219.53,0
34,1050.71,1049.57,1050.63,219.14,0
35,1050.7,1049.61,1050.62,220.31,0
36,1050.78,1049.59,1050.67,219.14,0
37,1050.71,1049.55,1050.63,220.7,0
38,1050.7,1049.54,1050.61,220.7,0
39,1050.75,1049.54,1050.58,220.31,0
40,1050.79,1049.57,1050.6,219.14,0
41,1050.69,1049.55,1050.62,219.92,0
42,1050.72,1049.61,1050.67,220.7,0
43,1050.71,1049.58,1050.65,219.14,0
44,1050.71,1049.6,1050.68,218.75,0
45,1050.73,1049.53,1050.58,219.53,0
46,1050.75,1049.53,1050.62,217.58,0
47,1050.75,1049.52,1050.58,219.92,0
48,1050.7,1049.56,1050.58,218.75,0
49,1050.71,1049.56,1050.6,219.14,0
50,1050.7,1049.61,1050.67,218.36,0
51,1050.71,1049.56,1050.65,218.36,0
52,1050.76,1049.57,1050.65,219.92,0
53,1050.75,1049.56,1050.62,219.14,0
54,1050.73,1049.51,1050.6,218.75,0
55,1050.74,1049.54,1050.54,218.75,0
56,1050.73,1049.58,1050.62,219.92,0
57,1050.67,1049.55,1050.66,218.75,0
58,1050.71,1049.57,1050.64,220.31,0
59,1050.69,1049.6,1050.65,220.31,0
60,1050.73,1049.53,1050.64,220.7,0
61,1050.65,1049.56,1050.58,219.14,0
62,1050.73,1049.54,1050.57,218.75,0
63,1050.73,1049.54,1050.56,218.75,0
64,1050.65,1049.53,1050.63,219.53,0
65,1050.71,1049.59,1050.63,219.14,0
66,1050.7,1049.54,1050.66,218.75,0
67,1050.72,1049.59,1050.67,218.75,0
68,1050.67,1049.53,1050.57,219.14,0
69,1050.75,1049.59,1050.63,219.14,0
70,1050.69,1049.51,1050.58,220.31,0
71,1050.68,1049.57,1050.61,218.36,0
72,1050.68,1049.56,1050.6,219.14,0
73,1050.71,1049.61,1050.69,220.31,0
74,1050.69,1049.51,1050.64,218.36,0
75,1050.71,1049.59,1050.65,219.14,0
76,1050.71,1049.54,1050.58,218.36,0
77,1050.71,1049.57,1050.61,219.14,0
78,1050.66,1049.5,1050.54,218.36,0
79,1050.73,1049.57,1050.63,220.31,0
80,1050.65,1049.56,1050.65,219.92,0
81,1050.66,1049.63,1050.65,218.75,0
82,1050.72,1049.54,1050.62,218.75,0
83,1050.7,1049.56,1050.65,219.92,0
84,1050.66,1049.5,1050.55,218.75,0
85,1050.72,1049.55,1050.57,220.31,0
86,1050.7,1049.56,1050.59,218.75,0
87,1050.71,1049.62,1050.63,220.7,0
88,1050.68,1049.59,1050.59,219.92,0
89,1050.69,1049.59,1050.67,220.7,0
90,1050.67,1049.54,1050.63,218.75,0
91,1050.68,1049.54,1050.58,218.36,0
92,1050.69,1049.53,1050.55,219.53,0
93,1050.7,1049.56,1050.56,218.75,0
94,1050.67,1049.55,1050.58,218.36,0
95,1050.69,1049.63,1050.62,218.75,0
96,1050.67,1049.6,1050.66,218.75,0
97,1050.68,1049.6,1050.64,218.75,0
98,1050.64,1049.55,1050.6,219.92,0
99,1050.73,1049.56,1050.61,218.75,0
100,1050.69,1049.53,1050.58,218.75,0
101,1050.67,1049.55,1050.6,220.31,0
102,1050.7,1049.54,1050.62,220.31,0
103,1050.68,1049.62,1050.64,219.53,0
104,1050.66,1049.57,1050.66,219.92,0
105,1050.65,1049.58,1050.61,220.31,0
106,1050.75,1049.59,1050.58,219.92,0
107,1050.66,1049.56,1050.56,219.14,0
108,1050.67,1049.53,1050.57,218.36,0
109,1050.68,1049.61,1050.6,218.75,0
110,1050.67,1049.6,1050.64,218.75,0
111,1050.67,1049.59,1050.63,219.14,0
112,1050.73,1049.6,1050.62,220.31,0
113,1050.68,1049.57,1050.59,219.14,0
114,1050.68,1049.53,1050.57,218.75,0
115,1050.7,1049.51,1050.55,218.75,0
116,1050.67,1049.56,1050.61,219.14,0
117,1050.64,1049.59,1050.63,218.75,0
118,1050.66,1049.58,1050.66,218.36,0
119,1050.68,1049.6,1050.62,219.14,0
120,1050.67,1049.55,1050.6,220.31,0
121,1050.65,1049.55,1050.59,218.75,0
122,1050.68,1049.54,1050.57,218.75,0
123,1050.71,1049.58,1050.61,219.92,0
124,1050.64,1049.58,1050.6,219.92,0
125,1050.68,1049.59,1050.65,220.7,0
126,1050.64,1049.59,1050.64,220.7,0
127,1050.61,1049.58,1050.61,218.75,0
128,1050.64,1049.5,1050.56,219.92,0
129,1050.68,1049.55,1050.54,220.31,0
130,1050.62,1049.56,1050.58,220.31,0
131,1050.68,1049.55,1050.57,218.36,0
132,1050.67,1049.6,1050.58,220.31,0
133,1050.7,1049.61,1050.64,218.36,0
134,1050.63,1049.56,1050.62,220.31,0
135,1050.66,1049.55,1050.59,218.75,0
136,1050.67,1049.54,1050.52,220.31,0
137,1050.68,1049.55,1050.55,220.7,0
138,1050.7,1049.53,1050.55,220.31,0
139,1050.7,1049.61,1050.59,218.36,0
140,1050.66,1049.55,1050.65,218.36,0
141,1050.63,1049.58,1050.67,218.75,0
142,1050.68,1049.53,1050.58,220.7,0
143,1050.71,1049.55,1050.59,218.75,0
144,1050.63,1049.51,1050.53,220.31,0
145,1050.69,1049.54,1050.57,218.36,0
146,1050.68,1049.54,1050.58,219.53,0
147,1050.63,1049.57,1050.63,218.75,0
148,1050.61,1049.57,1050.62,219.53,0
149,1050.71,1049.68,1050.64,218.36,0
150,1050.61,1049.54,1050.59,219.14,0
151,1050.67,1049.56,1050.59,218.75,0
152,1050.64,1049.53,1050.54,220.31,0
153,1050.66,1049.56,1050.56,220.31,0
154,1050.65,1049.55,1050.54,219.92,0
155,1050.67,1049.61,1050.59,220.7,0
156,1050.6,1049.6,1050.62,218.75,0
157,1050.67,1049.59,1050.65,219.92,0
158,1050.62,1049.51,1050.59,220.7,0
159,1050.69,1049.56,1050.58,220.31,0
160,1050.64,1049.52,1050.56,218.75,0
161,1050.65,1049.55,1050.53,219.53,0
162,1050.67,1049.54,1050.54,220.31,0
163,1050.67,1049.62,1050.66,218.75,0
164,1050.63,1049.56,1050.6,218.75,0
165,1050.68,1049.59,1050.61,218.36,0
166,1050.66,1049.55,1050.56,219.53,0
167,1050.67,1049.56,1050.54,218.36,0
168,1050.6,1049.54,1050.53,219.92,0
169,1050.65,1049.6,1050.6,218.36,0
170,1050.61,1049.58,1050.63,219.92,0
171,1050.66,1049.61,1050.63,220.7,0
172,1050.64,1049.61,1050.64,219.53,0
173,1050.62,1049.55,1050.61,218.75,0
174,1050.6,1049.52,1050.55,218.75,0
175,1050.68,1049.54,1050.52,218.75,0
176,1050.6,1049.55,1050.55,219.92,0
177,1050.6,1049.56,1050.56,219.14,0
178,1050.64,1049.59,1050.62,218.36,0
179,1050.65,1049.62,1050.63,220.31,0
180,1050.62,1049.55,1050.61,219.14,0
181,1050.64,1049.59,1050.54,220.31,0
182,1050.64,1049.56,1050.55,220.31,0
183,1050.61,1049.52,1050.55,219.92,0
184,1050.64,1049.53,1050.52,220.7,0
185,1050.66,1049.57,1050.57,220.31,0
186,1050.64,1049.58,1050.6,218.75,0
187,1050.6,1049.57,1050.59,219.14,0
188,1050.68,1049.56,1050.57,220.31,0
189,1050.69,1049.56,1050.55,219.92,0
190,1050.6,1049.55,1050.55,219.53,0
191,1050.68,1049.53,1050.54,219.14,0
192,1050.64,1049.57,1050.57,220.31,0
193,1050.61,1049.61,1050.62,219.92,0
194,1050.63,1049.55,1050.59,219.14,0
195,1050.63,1049.57,1050.59,220.7,0
196,1050.64,1049.54,1050.54,218.36,0
197,1050.65,1049.54,1050.54,220.7,0
198,1050.67,1049.51,1050.51,218.75,0
199,1050.64,1049.6,1050.57,218.36,0
200,1050.59,1049.57,1050.6,220.31,0
201,1050.63,1049.56,1050.63,219.14,0
202,1050.63,1049.56,1050.62,218.75,0
203,1050.64,1049.57,1050.59,219.92,0
204,1050.64,1049.53,1050.56,218.36,0
205,1050.63,1049.56,1050.53,218.75,0
206,1050.6,1049.54,1050.56,218.75,0
207,1050.58,1049.58,1050.61,220.31,0
208,1050.58,1049.58,1050.59,219.92,0
