,0,1,2,3,4,5,6
0,1058.13,1058.21,1057.5,218.75,0,,
1,1058.13,1058.14,1057.46,220.7,0,,
2,1058.13,1058.15,1057.43,220.31,0,,
3,1058.16,1058.17,1057.41,221.09,0,,
4,1058.13,1058.13,1057.41,220.7,0,,
5,1058.13,1058.18,1057.43,219.14,0,,
6,1058.15,1058.19,1057.46,219.14,0,,
7,1058.16,1058.19,1057.47,220.7,0,,
8,1058.19,1058.21,1057.52,219.53,0,,
9,1058.19,1058.19,1057.52,219.92,0,,
10,1058.16,1058.2,1057.4,220.7,0,,
11,1058.19,1058.17,1057.4,219.14,0,,
12,1058.17,1058.2,1057.43,219.53,0,,
13,1058.18,1058.18,1057.41,221.09,0,,
14,1058.14,1058.2,1057.46,221.09,0,,
15,1058.19,1058.23,1057.51,220.7,0,,
16,1058.19,1058.23,1057.53,220.7,0,,
17,1058.18,1058.19,1057.5,219.53,0,,
18,1058.17,1058.19,1057.49,220.7,0,,
19,1058.17,1058.15,1057.47,221.48,0,,
20,1058.21,1058.14,1057.42,219.92,0,,
21,1058.16,1058.22,1057.42,219.14,0,,
22,1058.17,1058.21,1057.47,219.53,0,,
23,1058.18,1058.21,1057.49,220.31,0,,
24,1058.18,1058.23,1057.49,221.09,0,,
25,1058.17,1058.21,1057.53,221.88,0,,
26,1058.17,1058.18,1057.44,221.09,0,,
27,1058.21,1058.2,1057.44,221.09,0,,
28,1058.18,1058.19,1057.41,221.48,0,,
29,1058.18,1058.18,1057.43,221.48,0,,
30,1058.15,1058.21,1057.45,220.7,0,,
31,1058.16,1058.25,1057.5,220.7,0,,
32,1058.15,1058.22,1057.51,220.7,0,,
33,1058.21,1058.22,1057.5,220.31,0,,
34,1058.16,1058.19,1057.49,220.7,0,,
35,1058.2,1058.2,1057.42,220.31,0,,
36,1058.23,1058.16,1057.43,219.53,0,,
37,1058.18,1058.2,1057.44,221.48,0,,
38,1058.18,1058.2,1057.48,221.09,0,,
39,1058.18,1058.19,1057.46,219.53,0,,
40,1058.19,1058.26,1057.54,220.31,0,,
41,1058.16,1058.28,1057.52,219.53,0,,
42,1058.18,1058.21,1057.49,219.53,0,,
43,1058.18,1058.21,1057.46,219.53,0,,
44,1058.2,1058.15,1057.41,221.88,0,,
45,1058.21,1058.2,1057.42,219.92,0,,
46,1058.16,1058.22,1057.5,219.92,0,,
47,1058.16,1058.22,1057.51,219.92,0,,
48,1058.18,1058.21,1057.49,219.92,0,,
49,1058.2,1058.21,1057.53,220.7,0,,
50,1058.18,1058.2,1057.52,219.53,0,,
51,1058.21,1058.21,1057.46,221.09,0,,
52,1058.19,1058.14,1057.43,219.53,0,,
53,1058.17,1058.21,1057.47,220.31,0,,
54,1058.21,1058.22,1057.4,221.09,0,,
55,1058.14,1058.24,1057.5,219.53,0,,
56,1058.16,1058.27,1057.53,218.75,0,,
57,1058.15,1058.24,1057.51,219.92,0,,
58,1058.17,1058.18,1057.49,220.7,0,,
59,1058.16,1058.2,1057.49,219.92,0,,
60,1058.17,1058.19,1057.45,219.14,0,,
61,1058.22,1058.18,1057.41,219.53,0,,
62,1058.2,1058.19,1057.43,220.7,0,,
63,1058.18,1058.21,1057.46,221.09,0,,
64,1058.16,1058.23,1057.49,219.53,0,,
65,1058.17,1058.24,1057.49,219.14,0,,
66,1058.18,1058.2,1057.5,221.09,0,,
67,1058.19,1058.2,1057.44,221.09,0,,
68,1058.22,1058.19,1057.42,219.53,0,,
69,1058.18,1058.17,1057.42,219.53,0,,
70,1058.19,1058.2,1057.46,219.53,0,,
71,1058.17,1058.21,1057.51,220.7,0,,
72,1058.18,1058.23,1057.51,219.92,0,,
73,1058.18,1058.22,1057.52,220.7,0,,
74,1058.2,1058.19,1057.48,219.14,0,,
75,1058.15,1058.18,1057.44,219.14,0,,
76,1058.22,1058.19,1057.4,221.09,0,,
77,1058.19,1058.17,1057.4,219.53,0,,
78,1058.19,1058.2,1057.45,219.14,0,,
79,1058.18,1058.22,1057.49,219.14,0,,
80,1058.17,1058.24,1057.5,221.09,0,,
81,1058.17,1058.21,1057.51,221.09,0,,
82,1058.21,1058.22,1057.52,219.53,0,,
83,1058.23,1058.19,1057.47,220.7,0,,
84,1058.17,1058.2,1057.44,219.92,0,,
85,1058.2,1058.16,1057.43,219.92,0,,
86,1058.2,1058.18,1057.43,219.92,0,,
87,1058.17,1058.22,1057.49,221.09,0,,
88,1058.13,1058.27,1057.53,219.53,0,,
89,1058.16,1058.26,1057.48,219.92,0,,
90,1058.23,1058.19,1057.5,221.09,0,,
91,1058.19,1058.18,1057.48,221.48,0,,
92,1058.19,1058.18,1057.43,220.7,0,,
93,1058.21,1058.14,1057.4,221.09,0,,
94,1058.18,1058.19,1057.42,221.09,0,,
95,1058.21,1058.22,1057.47,221.09,0,,
96,1058.16,1058.2,1057.47,219.92,0,,
97,1058.16,1058.23,1057.54,219.53,0,,
98,1058.16,1058.22,1057.51,221.48,0,,
99,1058.18,1058.23,1057.49,219.53,0,,
100,1058.15,1058.18,1057.46,219.14,0,,
101,1058.18,1058.16,1057.42,221.48,0,,
102,1058.15,1058.17,1057.42,220.7,0,,
103,1058.19,1058.2,1057.49,221.48,0,,
104,1058.19,1058.23,1057.47,220.7,0,,
105,1058.18,1058.22,1057.52,220.31,0,,
