,0,1,2,3,4,5
0,1120.89,1070.13,1072.46,211.33,0,
1,1120.97,1070.17,1072.42,209.38,0,
2,1120.95,1070.12,1072.47,212.5,0,
3,1120.96,1070.15,1072.44,211.72,0,
4,1120.97,1070.15,1072.44,211.33,0,
5,1120.95,1070.15,1072.45,211.72,0,
6,1120.94,1070.13,1072.42,211.33,0,
7,1120.98,1070.1,1072.47,213.28,0,
8,1120.93,1070.15,1072.44,212.89,0,
9,1120.92,1070.1,1072.42,212.89,0,
10,1120.99,1070.12,1072.46,210.94,0,
11,1121.04,1070.1,1072.41,213.28,0,
12,1120.96,1070.14,1072.44,210.94,0,
13,1121.01,1070.08,1072.43,212.11,0,
14,1120.94,1070.16,1072.45,212.11,0,
15,1120.94,1070.15,1072.44,211.33,0,
16,1120.95,1070.12,1072.45,211.72,0,
17,1120.96,1070.15,1072.42,213.28,0,
18,1120.94,1070.11,1072.46,212.89,0,
19,1120.98,1070.12,1072.46,211.72,0,
20,1120.95,1070.17,1072.43,210.94,0,
21,1120.91,1070.16,1072.44,211.72,0,
22,1120.94,1070.18,1072.45,213.28,0,
23,1120.96,1070.14,1072.4,212.89,0,
24,1121.07,1070.14,1072.45,211.33,0,
25,1120.94,1070.12,1072.45,210.94,0,
26,1120.9,1070.15,1072.42,209.38,0,
27,1120.95,1070.14,1072.45,213.67,0,
28,1121.02,1070.16,1072.42,210.94,0,
29,1120.98,1070.12,1072.48,211.33,0,
30,1120.98,1070.11,1072.46,212.11,0,
31,1120.96,1070.14,1072.45,211.72,0,
32,1120.93,1070.12,1072.47,211.33,0,
33,1120.97,1070.11,1072.44,210.94,0,
34,1120.95,1070.13,1072.45,211.33,0,
35,1120.95,1070.1,1072.44,212.11,0,
36,1120.94,1070.15,1072.42,213.28,0,
37,1120.99,1070.14,1072.42,213.28,0,
38,1120.89,1070.13,1072.4,210.94,0,
39,1120.98,1070.13,1072.48,211.33,0,
40,1120.93,1070.12,1072.42,211.72,0,
41,1120.92,1070.13,1072.48,212.11,0,
42,1120.95,1070.12,1072.48,211.72,0,
43,1120.96,1070.13,1072.43,212.11,0,
44,1120.91,1070.15,1072.48,210.94,0,
45,1121.02,1070.15,1072.45,211.72,0,
46,1120.93,1070.15,1072.45,213.28,0,
47,1120.95,1070.11,1072.47,210.94,0,
48,1120.95,1070.15,1072.45,212.11,0,
49,1120.95,1070.15,1072.45,211.72,0,
50,1120.94,1070.11,1072.45,210.94,0,
51,1120.98,1070.1,1072.46,211.72,0,
52,1120.95,1070.14,1072.46,211.33,0,
53,1121,1070.14,1072.43,212.11,0,
54,1120.98,1070.12,1072.43,212.11,0,
55,1120.96,1070.17,1072.47,211.72,0,
56,1120.99,1070.14,1072.48,211.72,0,
57,1120.93,1070.13,1072.44,211.72,0,
58,1120.9,1070.13,1072.46,211.72,0,
59,1121,1070.14,1072.49,212.89,0,
60,1120.94,1070.17,1072.41,211.33,0,
61,1120.92,1070.12,1072.45,212.89,0,
62,1120.97,1070.13,1072.44,213.28,0,
63,1120.93,1070.15,1072.44,212.5,0,
64,1120.95,1070.12,1072.49,212.11,0,
65,1120.97,1070.14,1072.46,212.11,0,
66,1121.01,1070.18,1072.48,214.06,0,
67,1120.97,1070.15,1072.46,213.67,0,
68,1120.97,1070.16,1072.46,212.11,0,
69,1120.94,1070.11,1072.43,212.11,0,
70,1120.98,1070.15,1072.46,212.89,0,
71,1121.01,1070.17,1072.47,213.28,0,
72,1120.9,1070.18,1072.46,210.55,0,
73,1120.97,1070.09,1072.44,213.28,0,
74,1121,1070.14,1072.45,212.89,0,
75,1120.94,1070.14,1072.43,210.94,0,
76,1120.92,1070.17,1072.5,210.55,0,
77,1120.93,1070.13,1072.44,211.72,0,
78,1120.95,1070.13,1072.46,210.55,0,
79,1120.97,1070.11,1072.45,210.94,0,
80,1120.96,1070.18,1072.45,213.28,0,
81,1120.97,1070.13,1072.47,210.55,0,
82,1120.99,1070.19,1072.48,210.55,0,
83,1120.92,1070.08,1072.49,210.94,0,
84,1120.97,1070.18,1072.45,211.72,0,
85,1120.93,1070.16,1072.45,214.06,0,
86,1121,1070.17,1072.46,212.11,0,
87,1121,1070.15,1072.46,212.11,0,
88,1120.95,1070.13,1072.45,211.33,0,
89,1120.95,1070.13,1072.46,213.28,0,
90,1120.95,1070.14,1072.49,212.89,0,
91,1120.99,1070.13,1072.45,211.33,0,
92,1120.98,1070.15,1072.44,213.67,0,
93,1120.91,1070.12,1072.45,212.89,0,
94,1120.94,1070.16,1072.47,212.89,0,
95,1120.93,1070.14,1072.45,212.5,0,
96,1120.97,1070.18,1072.49,212.5,0,
97,1120.93,1070.15,1072.46,211.72,0,
98,1120.95,1070.16,1072.46,212.5,0,
99,1120.98,1070.17,1072.49,210.16,0,
100,1120.99,1070.12,1072.4,211.72,0,
101,1121.01,1070.18,1072.47,210.55,0,
102,1120.92,1070.16,1072.42,210.94,0,
103,1120.99,1070.11,1072.47,213.67,0,
104,1120.93,1070.16,1072.47,213.67,0,
105,1120.92,1070.13,1072.43,210.94,0,
106,1120.96,1070.16,1072.42,214.06,0,
107,1120.93,1070.12,1072.45,212.89,0,
108,1120.97,1070.19,1072.46,212.89,0,
109,1120.94,1070.13,1072.46,210.55,0,
110,1120.99,1070.16,1072.43,212.5,0,
111,1120.95,1070.16,1072.46,212.5,0,
112,1120.96,1070.16,1072.45,211.33,0,
113,1120.95,1070.16,1072.46,212.5,0,
114,1120.95,1070.15,1072.48,213.67,0,
115,1120.95,1070.18,1072.51,213.28,0,
116,1120.93,1070.14,1072.47,212.89,0,
117,1120.96,1070.18,1072.46,211.72,0,
118,1120.98,1070.18,1072.47,212.5,0,
119,1120.94,1070.13,1072.48,212.11,0,
120,1120.92,1070.16,1072.47,211.72,0,
121,1120.92,1070.15,1072.47,210.55,0,
123,1120.94,1070.13,1072.48,212.11,0,
124,1120.92,1070.16,1072.47,211.72,0,
125,1120.92,1070.15,1072.47,210.55,0,
126,1120.95,1070.2,1072.49,210.55,0,
127,1120.94,1070.17,1072.46,211.33,0,
128,1120.91,1070.18,1072.46,211.72,0,
129,1120.94,1070.16,1072.46,211.72,0,
130,1120.94,1070.2,1072.5,212.11,0,
131,1120.92,1070.15,1072.5,213.67,0,
132,1120.96,1070.17,1072.49,213.67,0,
