,0,1,2,3,4
0,1052.11,1051.86,1052.62,219.53,0
1,1052.10,1051.92,1052.60,217.97,0
2,1052.16,1051.83,1052.54,219.53,0
3,1052.11,1051.86,1052.62,219.53,0
4,1052.10,1051.92,1052.60,217.97,0
5,1052.16,1051.83,1052.54,219.53,0
6,1052.11,1051.86,1052.62,219.53,0
7,1052.10,1051.92,1052.60,217.97,0
8,1052.16,1051.83,1052.54,219.53,0
9,1052.11,1051.86,1052.62,219.53,0
10,1052.14,1051.88,1052.63,218.75,0
11,1052.10,1051.82,1052.58,218.75,0
12,1052.09,1051.87,1052.61,218.36,0
13,1052.09,1051.85,1052.62,219.92,0
14,1052.08,1051.92,1052.69,219.14,0
15,1052.03,1051.91,1052.72,219.53,0
16,1052.07,1051.93,1052.71,218.36,0
17,1052.06,1051.88,1052.66,220.31,0
18,1052.10,1051.91,1052.63,219.92,0
19,1052.06,1051.83,1052.56,217.97,0
20,1052.14,1051.87,1052.61,218.75,0
21,1052.08,1051.91,1052.65,218.75,0
22,1052.08,1051.95,1052.76,220.31,0
23,1052.06,1051.91,1052.75,220.31,0
24,1052.12,1051.92,1052.74,218.36,0
25,1052.11,1051.87,1052.62,218.75,0
26,1052.15,1051.85,1052.61,218.36,0
27,1052.13,1051.85,1052.61,218.36,0
28,1052.09,1051.91,1052.63,218.75,0
29,1052.07,1051.92,1052.67,218.75,0
30,1052.06,1051.95,1052.73,218.75,0
31,1052.11,1051.97,1052.76,218.75,0
32,1052.10,1051.93,1052.72,220.31,0
33,1052.14,1051.86,1052.65,219.14,0
34,1052.16,1051.88,1052.61,219.53,0
35,1052.09,1051.86,1052.60,220.31,0
36,1052.12,1051.94,1052.66,218.75,0
37,1052.09,1051.92,1052.68,219.14,0
38,1052.10,1052.00,1052.76,220.31,0
39,1052.07,1051.95,1052.72,220.31,0
40,1052.12,1051.93,1052.71,219.92,0
41,1052.13,1051.86,1052.64,218.36,0
42,1052.13,1051.87,1052.62,219.53,0
43,1052.09,1051.85,1052.62,219.53,0
44,1052.08,1051.91,1052.70,218.75,0
45,1052.05,1051.95,1052.74,218.36,0
46,1052.12,1051.95,1052.75,220.31,0
47,1052.07,1051.93,1052.74,219.92,0
48,1052.13,1051.93,1052.69,218.75,0
49,1052.06,1051.84,1052.60,218.36,0
50,1052.16,1051.90,1052.64,219.53,0
51,1052.10,1051.94,1052.67,219.53,0
52,1052.12,1051.95,1052.72,219.14,0
53,1052.08,1051.95,1052.74,220.31,0
54,1052.11,1051.94,1052.75,219.14,0
55,1052.09,1051.88,1052.66,219.92,0
56,1052.15,1051.89,1052.64,219.14,0
57,1052.09,1051.86,1052.58,219.92,0
58,1052.14,1051.95,1052.66,218.75,0
59,1052.06,1051.92,1052.69,218.75,0
60,1052.10,1051.95,1052.69,219.53,0
61,1052.08,1051.94,1052.74,218.36,0
62,1052.12,1051.92,1052.70,217.97,0
63,1052.13,1051.86,1052.61,219.14,0
64,1052.15,1051.86,1052.62,220.31,0
65,1052.10,1051.92,1052.66,218.36,0
66,1052.08,1051.93,1052.69,218.75,0
67,1052.07,1051.94,1052.70,218.36,0
68,1052.11,1051.97,1052.76,219.92,0
69,1052.08,1051.90,1052.71,218.75,0
70,1052.13,1051.91,1052.65,220.70,0
71,1052.12,1051.87,1052.65,218.36,0
72,1052.10,1051.89,1052.63,220.31,0
73,1052.11,1051.90,1052.67,220.31,0
74,1052.08,1051.97,1052.70,219.92,0
75,1052.10,1052.00,1052.73,219.14,0
76,1052.08,1051.94,1052.73,218.36,0
77,1052.13,1051.92,1052.70,218.36,0
78,1052.11,1051.86,1052.62,219.53,0
79,1052.13,1051.87,1052.62,219.14,0
80,1052.12,1051.87,1052.64,220.31,0
81,1052.09,1051.91,1052.71,218.36,0
82,1052.10,1051.96,1052.74,218.36,0
83,1052.07,1051.97,1052.73,218.36,0
84,1052.09,1051.92,1052.75,219.14,0
85,1052.11,1051.88,1052.68,219.92,0
86,1052.08,1051.89,1052.59,218.75,0
87,1052.14,1051.93,1052.65,219.14,0
88,1052.10,1051.94,1052.69,218.36,0
89,1052.06,1051.96,1052.72,220.31,0
90,1052.08,1051.96,1052.73,220.31,0
91,1052.10,1051.94,1052.73,219.53,0
92,1052.12,1051.90,1052.64,220.31,0
93,1052.11,1051.85,1052.60,218.75,0
94,1052.15,1051.89,1052.61,218.36,0
95,1052.07,1051.94,1052.69,218.75,0
96,1052.08,1051.97,1052.71,219.53,0
97,1052.06,1051.96,1052.70,218.36,0
98,1052.12,1052.00,1052.76,220.31,0
99,1052.12,1051.91,1052.67,220.31,0
100,1052.17,1051.88,1052.63,220.31,0
101,1052.11,1051.86,1052.62,220.31,0
102,1052.12,1051.94,1052.69,220.70,0
103,1052.13,1051.92,1052.68,219.92,0
104,1052.08,1051.97,1052.76,218.36,0
105,1052.10,1051.95,1052.74,217.97,0
106,1052.09,1051.91,1052.75,219.53,0
107,1052.11,1051.84,1052.63,218.36,0
108,1052.18,1051.87,1052.64,218.75,0
109,1052.11,1051.88,1052.61,219.92,0
110,1052.13,1051.95,1052.66,219.92,0
111,1052.06,1051.90,1052.69,219.92,0
112,1052.11,1052.00,1052.76,219.92,0
113,1052.10,1051.90,1052.69,219.53,0
114,1052.18,1051.93,1052.70,218.75,0
115,1052.12,1051.86,1052.62,219.92,0
116,1052.15,1051.88,1052.62,219.92,0
117,1052.12,1051.84,1052.61,218.36,0
118,1052.08,1051.96,1052.70,219.92,0
119,1052.10,1051.94,1052.73,218.36,0
120,1052.09,1051.95,1052.74,219.92,0
121,1052.09,1051.96,1052.74,220.31,0
122,1052.14,1051.89,1052.64,219.53,0
123,1052.11,1051.88,1052.59,219.92,0
124,1052.17,1051.91,1052.62,220.31,0
125,1052.06,1051.92,1052.68,218.75,0
126,1052.09,1051.95,1052.75,220.31,0
127,1052.10,1051.95,1052.71,218.75,0
128,1052.11,1051.98,1052.77,218.36,0
129,1052.09,1051.87,1052.66,218.75,0
130,1052.13,1051.90,1052.60,218.36,0
131,1052.10,1051.87,1052.60,219.92,0
132,1052.14,1051.92,1052.66,220.31,0
133,1052.04,1051.93,1052.67,219.14,0
134,1052.11,1051.96,1052.76,219.14,0
135,1052.09,1051.96,1052.77,219.92,0
136,1052.10,1051.93,1052.72,219.92,0
137,1052.09,1051.87,1052.65,220.31,0
138,1052.15,1051.89,1052.64,219.92,0
139,1052.10,1051.91,1052.61,219.14,0
140,1052.10,1051.94,1052.70,218.36,0
141,1052.11,1051.91,1052.72,219.92,0
142,1052.11,1051.99,1052.78,219.53,0
143,1052.09,1051.96,1052.73,219.14,0
144,1052.15,1051.91,1052.67,220.31,0
145,1052.13,1051.92,1052.63,218.36,0
146,1052.11,1051.88,1052.61,218.36,0
147,1052.08,1051.91,1052.67,218.36,0
148,1052.09,1051.94,1052.72,218.36,0
149,1052.09,1051.96,1052.73,219.92,0
150,1052.08,1051.95,1052.76,221.09,0
151,1052.14,1051.90,1052.68,218.36,0
152,1052.14,1051.91,1052.65,220.31,0
153,1052.10,1051.88,1052.59,218.36,0
154,1052.14,1051.89,1052.61,219.14,0
155,1052.08,1051.97,1052.74,218.75,0
156,1052.06,1051.95,1052.74,218.36,0
157,1052.07,1051.98,1052.77,220.31,0
158,1052.12,1051.91,1052.72,219.14,0
159,1052.11,1051.89,1052.66,219.14,0
160,1052.10,1051.87,1052.58,219.14,0
161,1052.14,1051.85,1052.59,218.36,0
162,1052.11,1051.93,1052.69,218.75,0
163,1052.07,1051.93,1052.71,218.36,0
164,1052.11,1051.95,1052.72,220.31,0
165,1052.12,1051.96,1052.79,220.31,0
166,1052.10,1051.92,1052.69,218.36,0
167,1052.10,1051.89,1052.65,218.36,0
168,1052.11,1051.90,1052.59,218.75,0
169,1052.04,1051.93,1052.63,218.36,0
170,1052.08,1051.96,1052.70,219.53,0
171,1052.06,1051.94,1052.75,217.19,0
172,1052.07,1052.00,1052.75,219.14,0
173,1052.10,1051.90,1052.71,218.75,0
174,1052.14,1051.91,1052.65,219.14,0
175,1052.11,1051.87,1052.61,218.75,0
176,1052.12,1051.93,1052.62,218.36,0
177,1052.10,1051.91,1052.67,220.31,0
178,1052.11,1051.93,1052.73,218.36,0
179,1052.09,1051.99,1052.78,219.53,0
180,1052.11,1051.89,1052.68,218.36,0
181,1052.13,1051.88,1052.66,218.75,0
182,1052.12,1051.86,1052.60,218.36,0
183,1052.11,1051.90,1052.61,218.36,0
184,1052.12,1051.94,1052.66,218.75,0
185,1052.10,1051.94,1052.71,218.36,0
186,1052.10,1052.01,1052.77,218.36,0
187,1052.04,1051.95,1052.71,218.36,0
188,1052.14,1051.90,1052.67,219.92,0
189,1052.13,1051.92,1052.64,220.31,0
190,1052.12,1051.88,1052.55,217.97,0
191,1052.11,1051.90,1052.62,217.97,0
192,1052.05,1051.94,1052.69,219.92,0
193,1052.10,1051.96,1052.77,219.14,0
194,1052.07,1051.96,1052.70,219.92,0
195,1052.11,1051.92,1052.69,218.36,0
196,1052.11,1051.90,1052.64,219.92,0
197,1052.11,1051.91,1052.62,219.92,0
198,1052.10,1051.89,1052.63,219.92,0
199,1052.11,1051.93,1052.65,218.75,0
200,1052.06,1051.96,1052.74,220.31,0
201,1052.11,1051.97,1052.75,220.31,0
202,1052.13,1051.94,1052.74,219.92,0
203,1052.10,1051.88,1052.64,218.36,0
204,1052.13,1051.88,1052.62,219.92,0
205,1052.08,1051.92,1052.59,219.53,0
206,1052.15,1051.96,1052.65,218.36,0
207,1052.07,1051.93,1052.68,219.92,0
208,1052.09,1051.94,1052.76,219.53,0
209,1052.10,1051.96,1052.75,219.92,0
210,1052.11,1051.92,1052.67,218.36,0
211,1052.12,1051.87,1052.58,219.92,0
212,1052.11,1051.88,1052.54,219.14,0
213,1052.11,1051.93,1052.66,219.53,0
214,1052.11,1051.94,1052.68,217.97,0
215,1052.04,1051.97,1052.73,218.75,0
216,1052.06,1051.97,1052.75,219.14,0
217,1052.08,1051.93,1052.72,218.75,0
218,1052.10,1051.90,1052.61,218.75,0
219,1052.12,1051.89,1052.61,219.14,0
220,1052.10,1051.91,1052.59,218.36,0
221,1052.10,1051.93,1052.64,217.97,0
222,1052.07,1051.90,1052.71,217.97,0
223,1052.11,1052.01,1052.75,220.70,0
224,1052.05,1051.95,1052.72,219.92,0
225,1052.12,1051.89,1052.70,219.92,0
226,1052.14,1051.84,1052.62,218.36,0
227,1052.11,1051.89,1052.60,219.14,0
228,1052.12,1051.90,1052.60,218.36,0
229,1052.09,1051.91,1052.69,217.97,0
230,1052.11,1051.98,1052.72,219.92,0
231,1052.06,1051.96,1052.74,218.75,0
232,1052.11,1051.92,1052.66,218.36,0
233,1052.10,1051.87,1052.65,218.36,0
234,1052.10,1051.86,1052.57,219.92,0
235,1052.12,1051.89,1052.61,220.31,0
236,1052.06,1051.95,1052.67,218.36,0
237,1052.11,1051.96,1052.71,218.75,0
238,1052.10,1051.94,1052.71,220.31,0
239,1052.10,1051.92,1052.71,218.36,0
240,1052.14,1051.90,1052.65,219.14,0
241,1052.11,1051.86,1052.59,218.36,0
242,1052.10,1051.93,1052.62,218.75,0
243,1052.06,1051.92,1052.69,218.36,0
244,1052.09,1051.98,1052.70,218.36,0
245,1052.06,1051.95,1052.74,219.14,0
246,1052.11,1051.97,1052.72,219.92,0
247,1052.08,1051.92,1052.66,220.31,0
248,1052.11,1051.86,1052.62,218.36,0
249,1052.09,1051.88,1052.61,218.36,0
250,1052.09,1051.92,1052.63,219.53,0
251,1052.05,1051.94,1052.70,219.53,0
252,1052.09,1051.95,1052.71,220.31,0
253,1052.09,1051.92,1052.74,219.53,0
254,1052.11,1051.92,1052.67,218.36,0
255,1052.14,1051.85,1052.60,220.31,0
256,1052.15,1051.88,1052.60,219.92,0
257,1052.07,1051.88,1052.64,220.31,0
258,1052.08,1051.97,1052.68,217.97,0
259,1052.05,1051.95,1052.72,219.14,0
260,1052.10,1051.98,1052.75,219.92,0
261,1052.06,1051.90,1052.67,219.14,0
262,1052.11,1051.87,1052.59,218.75,0
263,1052.11,1051.89,1052.62,218.75,0
264,1052.10,1051.95,1052.66,219.92,0
265,1052.08,1051.94,1052.69,219.14,0
266,1052.12,1051.95,1052.72,219.14,0
267,1052.08,1051.95,1052.75,218.75,0
268,1052.09,1051.92,1052.67,218.36,0
269,1052.12,1051.90,1052.62,218.75,0
270,1052.13,1051.91,1052.61,219.14,0
271,1052.07,1051.90,1052.63,219.14,0
272,1052.07,1051.95,1052.65,217.97,0
273,1052.09,1051.95,1052.70,218.36,0
274,1052.07,1051.99,1052.74,220.31,0
275,1052.08,1051.92,1052.69,218.75,0
276,1052.12,1051.89,1052.63,219.53,0
277,1052.11,1051.88,1052.60,217.97,0
278,1052.11,1051.88,1052.59,219.92,0
279,1052.12,1051.90,1052.63,220.31,0
280,1052.07,1051.94,1052.69,219.92,0
281,1052.09,1051.99,1052.74,218.36,0
282,1052.07,1051.94,1052.69,219.92,0
283,1052.14,1051.88,1052.67,219.14,0
284,1052.12,1051.89,1052.59,218.36,0
285,1052.14,1051.86,1052.63,218.75,0
286,1052.10,1051.92,1052.57,219.14,0
287,1052.07,1051.93,1052.69,218.75,0
288,1052.07,1051.97,1052.73,220.31,0
289,1052.05,1051.93,1052.73,218.75,0
290,1052.10,1051.92,1052.68,218.75,0
291,1052.09,1051.89,1052.64,219.14,0
292,1052.11,1051.88,1052.59,217.97,0
293,1052.09,1051.90,1052.59,220.31,0
294,1052.09,1051.92,1052.66,218.75,0
295,1052.10,1051.95,1052.69,217.97,0
296,1052.12,1051.97,1052.73,219.14,0
297,1052.13,1051.93,1052.72,219.14,0
298,1052.12,1051.90,1052.65,219.92,0
299,1052.10,1051.86,1052.59,220.70,0
300,1052.14,1051.84,1052.57,220.31,0
301,1052.09,1051.91,1052.66,218.75,0
302,1052.10,1051.94,1052.64,218.36,0
303,1052.09,1051.95,1052.71,217.97,0
304,1052.13,1051.96,1052.74,219.14,0
305,1052.10,1051.86,1052.65,218.36,0
306,1052.12,1051.86,1052.58,219.53,0
307,1052.11,1051.87,1052.59,218.75,0
308,1052.11,1051.94,1052.64,218.75,0
309,1052.09,1051.95,1052.65,218.36,0
310,1052.06,1051.95,1052.70,218.75,0
311,1052.08,1051.96,1052.74,218.36,0
312,1052.09,1051.89,1052.68,220.31,0
313,1052.06,1051.85,1052.58,219.53,0
314,1052.12,1051.88,1052.59,218.36,0
315,1052.08,1051.92,1052.62,218.75,0
316,1052.10,1051.91,1052.61,218.75,0
317,1052.08,1051.94,1052.71,219.92,0
318,1052.11,1051.96,1052.72,219.53,0
319,1052.08,1051.90,1052.69,218.75,0
320,1052.11,1051.87,1052.62,219.92,0
321,1052.10,1051.87,1052.58,218.75,0
322,1052.13,1051.89,1052.59,217.97,0
323,1052.11,1051.95,1052.58,218.36,0
324,1052.11,1051.97,1052.69,220.31,0
325,1052.08,1051.98,1052.73,220.31,0
326,1052.07,1051.94,1052.74,219.92,0
327,1052.15,1051.88,1052.65,218.75,0
328,1052.12,1051.90,1052.62,217.97,0
329,1052.09,1051.88,1052.56,218.75,0
330,1052.13,1051.93,1052.63,219.14,0
331,1052.04,1051.91,1052.67,220.70,0
332,1052.10,1051.97,1052.70,218.75,0
