,0,1,2,3,4,5
1,1117.16,1066,1068.51,210.94,0,
2,1117.13,1066.01,1068.48,212.89,0,
3,1117.2,1065.99,1068.51,213.28,0,
5,1117.16,1066,1068.51,210.94,0,
6,1117.13,1066.01,1068.48,212.89,0,
7,1117.2,1065.99,1068.51,213.28,0,
9,1117.16,1066,1068.51,210.94,0,
10,1117.13,1066.01,1068.48,212.89,0,
11,1117.2,1065.99,1068.51,213.28,0,
12,1117.13,1065.99,1068.53,210.94,0,
13,1117.17,1066,1068.52,212.5,0,
14,1117.09,1065.99,1068.51,212.5,0,
15,1117.13,1066,1068.52,212.5,0,
16,1117.1,1065.98,1068.53,213.67,0,
17,1117.17,1065.99,1068.51,212.5,0,
18,1117.19,1065.97,1068.52,212.89,0,
19,1117.17,1065.97,1068.5,210.16,0,
20,1117.17,1066.02,1068.52,212.89,0,
21,1117.14,1065.95,1068.49,211.33,0,
22,1117.18,1066.02,1068.49,212.5,0,
23,1117.15,1065.95,1068.5,211.33,0,
24,1117.19,1066.01,1068.52,212.5,0,
25,1117.18,1066.04,1068.51,210.55,0,
26,1117.13,1066,1068.55,212.5,0,
27,1117.1,1066.01,1068.52,213.28,0,
28,1117.12,1065.96,1068.53,212.5,0,
29,1117.2,1066,1068.52,213.28,0,
30,1117.13,1066,1068.52,210.55,0,
31,1117.13,1066,1068.52,212.5,0,
32,1117.21,1065.99,1068.52,212.5,0,
33,1117.1,1065.99,1068.53,211.72,0,
34,1117.18,1065.98,1068.56,213.28,0,
35,1117.18,1065.99,1068.55,212.89,0,
36,1117.11,1066,1068.52,210.94,0,
37,1117.18,1065.98,1068.51,212.89,0,
38,1117.08,1065.98,1068.52,212.89,0,
39,1117.17,1065.99,1068.5,210.55,0,
40,1117.14,1066,1068.51,210.55,0,
41,1117.14,1066,1068.51,212.5,0,
42,1117.17,1065.97,1068.53,211.33,0,
43,1117.19,1066.02,1068.51,212.89,0,
44,1117.2,1065.99,1068.51,213.28,0,
45,1117.11,1066.01,1068.52,210.94,0,
46,1117.18,1065.99,1068.52,212.89,0,
47,1117.18,1065.98,1068.53,212.11,0,
48,1117.17,1065.97,1068.51,212.5,0,
49,1117.15,1065.98,1068.52,210.55,0,
50,1117.12,1066,1068.52,212.11,0,
51,1117.14,1066.01,1068.55,210.55,0,
52,1117.12,1065.97,1068.52,212.11,0,
53,1117.11,1066.02,1068.52,211.33,0,
54,1117.22,1066.01,1068.52,210.94,0,
55,1117.13,1065.94,1068.52,211.72,0,
56,1117.15,1066,1068.55,212.89,0,
57,1117.1,1065.99,1068.52,210.94,0,
58,1117.13,1065.96,1068.53,212.5,0,
59,1117.16,1065.97,1068.53,210.55,0,
60,1117.18,1066.02,1068.53,211.33,0,
61,1117.09,1066,1068.55,212.89,0,
62,1117.1,1065.98,1068.48,213.28,0,
63,1117.16,1065.98,1068.52,213.67,0,
64,1117.18,1065.96,1068.52,210.55,0,
65,1117.11,1066.01,1068.51,212.11,0,
66,1117.16,1065.95,1068.5,210.94,0,
67,1117.17,1065.95,1068.47,211.72,0,
68,1117.16,1065.96,1068.53,210.55,0,
69,1117.2,1065.98,1068.5,210.94,0,
70,1117.11,1065.97,1068.53,212.89,0,
71,1117.2,1066.02,1068.55,211.72,0,
72,1117.15,1065.94,1068.55,210.94,0,
73,1117.2,1065.98,1068.53,213.28,0,
74,1117.11,1066.01,1068.51,210.55,0,
75,1117.14,1066.01,1068.51,210.94,0,
76,1117.12,1065.97,1068.52,211.72,0,
77,1117.08,1065.99,1068.55,212.89,0,
78,1117.16,1066.02,1068.51,212.11,0,
79,1117.19,1065.99,1068.55,211.72,0,
80,1117.16,1065.95,1068.51,212.89,0,
81,1117.14,1065.98,1068.56,210.94,0,
82,1117.14,1065.99,1068.55,213.28,0,
83,1117.11,1065.98,1068.54,211.33,0,
84,1117.14,1066,1068.51,213.28,0,
85,1117.08,1065.97,1068.53,212.11,0,
86,1117.13,1065.97,1068.53,212.11,0,
87,1117.09,1065.99,1068.52,213.28,0,
88,1117.12,1065.99,1068.53,211.72,0,
89,1117.18,1065.99,1068.49,213.28,0,
90,1117.12,1065.98,1068.54,210.94,0,
91,1117.12,1065.97,1068.52,211.33,0,
92,1117.2,1065.97,1068.5,212.89,0,
93,1117.17,1066.02,1068.53,210.55,0,
94,1117.16,1065.96,1068.49,211.72,0,
95,1117.14,1066,1068.52,213.28,0,
96,1117.13,1065.98,1068.54,211.33,0,
97,1117.12,1065.99,1068.55,210.94,0,
98,1117.11,1066.03,1068.51,212.5,0,
99,1117.18,1065.97,1068.5,211.33,0,
100,1117.13,1066.01,1068.53,211.72,0,
101,1117.19,1065.93,1068.52,210.94,0,
102,1117.16,1065.99,1068.52,212.5,0,
103,1117.17,1065.97,1068.54,210.55,0,
104,1117.11,1065.99,1068.51,210.94,0,
105,1117.15,1066,1068.51,210.55,0,
106,1117.16,1065.99,1068.52,212.5,0,
107,1117.15,1066.02,1068.51,212.89,0,
108,1117.11,1065.98,1068.54,212.89,0,
109,1117.15,1065.99,1068.53,210.94,0,
110,1117.14,1065.97,1068.5,213.28,0,
111,1117.14,1065.98,1068.51,211.33,0,
112,1117.13,1065.97,1068.53,210.94,0,
113,1117.15,1065.99,1068.5,210.94,0,
114,1117.12,1066,1068.48,211.72,0,
115,1117.16,1065.98,1068.52,211.33,0,
116,1117.14,1065.96,1068.51,211.33,0,
117,1117.13,1066,1068.54,210.94,0,
118,1117.17,1065.97,1068.52,210.94,0,
120,1116.84,1065.73,1068.4,213.28,0,
121,1116.76,1065.73,1068.37,211.33,0,
122,1116.82,1065.72,1068.38,212.89,0,
124,1116.84,1065.73,1068.4,213.28,0,
125,1116.76,1065.73,1068.37,211.33,0,
126,1116.82,1065.72,1068.38,212.89,0,
128,1116.84,1065.73,1068.4,213.28,0,
129,1116.76,1065.73,1068.37,211.33,0,
130,1116.82,1065.72,1068.38,212.89,0,
131,1116.8,1065.74,1068.38,210.94,0,
132,1116.82,1065.76,1068.36,214.06,0,
133,1116.77,1065.73,1068.4,211.72,0,
134,1116.79,1065.74,1068.36,210.55,0,
135,1116.79,1065.71,1068.41,212.5,0,
136,1116.79,1065.74,1068.38,212.11,0,
137,1116.8,1065.73,1068.39,211.33,0,
138,1116.83,1065.72,1068.36,211.72,0,
139,1116.81,1065.72,1068.37,213.67,0,
140,1116.76,1065.73,1068.37,213.67,0,
141,1116.78,1065.73,1068.39,211.72,0,
142,1116.82,1065.73,1068.38,212.89,0,
143,1116.79,1065.77,1068.39,211.33,0,
144,1116.82,1065.73,1068.35,211.33,0,
145,1116.81,1065.72,1068.39,210.55,0,
146,1116.79,1065.74,1068.38,210.55,0,
147,1116.87,1065.73,1068.38,210.16,0,
148,1116.82,1065.75,1068.37,210.94,0,
149,1116.78,1065.72,1068.4,210.94,0,
150,1116.74,1065.71,1068.39,212.89,0,
151,1116.79,1065.73,1068.38,212.89,0,
152,1116.79,1065.68,1068.4,213.67,0,
153,1116.78,1065.72,1068.37,211.33,0,
154,1116.83,1065.71,1068.36,211.33,0,
155,1116.76,1065.73,1068.37,211.33,0,
156,1116.76,1065.71,1068.37,211.33,0,
157,1116.88,1065.75,1068.41,213.28,0,
158,1116.81,1065.72,1068.41,212.5,0,
159,1116.83,1065.71,1068.37,212.5,0,
160,1116.84,1065.71,1068.39,212.89,0,
161,1116.8,1065.67,1068.41,211.33,0,
162,1116.81,1065.74,1068.37,212.89,0,
163,1116.83,1065.72,1068.38,210.94,0,
164,1116.8,1065.7,1068.41,212.89,0,
165,1116.78,1065.69,1068.38,211.72,0,
166,1116.81,1065.69,1068.35,210.94,0,
167,1116.74,1065.71,1068.41,211.72,0,
168,1116.76,1065.73,1068.35,212.5,0,
169,1116.76,1065.71,1068.38,212.11,0,
170,1116.78,1065.69,1068.38,212.89,0,
171,1116.77,1065.73,1068.39,211.33,0,
172,1116.77,1065.67,1068.4,213.67,0,
173,1116.84,1065.73,1068.39,210.94,0,
174,1116.75,1065.74,1068.39,211.33,0,
175,1116.8,1065.69,1068.4,213.67,0,
176,1116.83,1065.7,1068.4,213.28,0,
177,1116.78,1065.71,1068.37,210.94,0,
178,1116.86,1065.71,1068.38,210.94,0,
179,1116.83,1065.7,1068.38,211.72,0,
180,1116.79,1065.69,1068.42,210.94,0,
181,1116.77,1065.71,1068.38,211.72,0,
182,1116.81,1065.73,1068.43,211.33,0,
183,1116.76,1065.71,1068.4,210.55,0,
184,1116.81,1065.66,1068.4,211.72,0,
185,1116.8,1065.72,1068.41,211.72,0,
186,1116.82,1065.71,1068.4,210.55,0,
187,1116.77,1065.71,1068.43,210.55,0,
188,1116.81,1065.72,1068.38,212.89,0,
189,1116.81,1065.7,1068.39,211.33,0,
190,1116.84,1065.73,1068.4,213.28,0,
191,1116.8,1065.74,1068.38,213.28,0,
192,1116.76,1065.7,1068.37,212.89,0,
193,1116.83,1065.73,1068.4,210.94,0,
194,1116.8,1065.71,1068.4,213.67,0,
195,1116.84,1065.69,1068.42,212.5,0,
196,1116.77,1065.71,1068.37,211.72,0,
197,1116.74,1065.76,1068.37,213.28,0,
198,1116.75,1065.73,1068.45,210.94,0,
199,1116.74,1065.74,1068.41,212.89,0,
200,1116.74,1065.76,1068.39,211.33,0,
201,1116.76,1065.72,1068.4,211.33,0,
202,1116.78,1065.71,1068.4,210.55,0,
203,1116.76,1065.72,1068.41,213.67,0,
204,1116.81,1065.72,1068.37,211.33,0,
205,1116.79,1065.74,1068.42,211.72,0,
206,1116.8,1065.74,1068.41,213.67,0,
207,1116.76,1065.7,1068.43,211.72,0,
208,1116.82,1065.72,1068.4,210.55,0,
209,1116.77,1065.73,1068.4,210.94,0,
210,1116.72,1065.74,1068.4,210.94,0,
211,1116.75,1065.74,1068.43,211.72,0,
212,1116.75,1065.73,1068.45,213.28,0,
213,1116.8,1065.75,1068.44,212.5,0,
214,1116.74,1065.73,1068.44,212.5,0,
215,1116.75,1065.72,1068.41,213.28,0,
216,1116.75,1065.72,1068.41,213.67,0,
217,1116.74,1065.72,1068.42,210.55,0,
218,1116.81,1065.72,1068.41,210.55,0,
219,1116.81,1065.78,1068.43,210.94,0,
220,1116.8,1065.75,1068.44,211.33,0,
221,1116.69,1065.75,1068.42,212.11,0,
222,1116.72,1065.72,1068.37,210.94,0,
223,1116.82,1065.78,1068.38,211.72,0,
224,1116.76,1065.73,1068.42,210.94,0,
225,1116.82,1065.75,1068.42,210.94,0,
226,1116.74,1065.76,1068.44,212.5,0,
227,1116.77,1065.75,1068.39,210.55,0,
228,1116.79,1065.76,1068.42,210.94,0,
229,1116.73,1065.73,1068.41,211.72,0,
230,1116.77,1065.78,1068.4,211.72,0,
231,1116.76,1065.76,1068.42,212.5,0,
232,1116.75,1065.73,1068.45,212.5,0,
233,1116.74,1065.75,1068.42,211.72,0,
234,1116.76,1065.77,1068.43,211.72,0,
235,1116.82,1065.76,1068.42,211.33,0,
