,0,1,2,3,4
0,1114.35,1063.74,1066.50,212.11,0
1,1114.37,1063.71,1066.48,212.89,0
2,1114.33,1063.71,1066.52,213.67,0
3,1114.33,1063.70,1066.53,211.72,0
4,1114.35,1063.68,1066.50,211.72,0
5,1114.35,1063.72,1066.50,211.33,0
6,1114.29,1063.72,1066.49,212.50,0
7,1114.33,1063.73,1066.51,211.33,0
8,1114.30,1063.73,1066.48,212.89,0
9,1114.32,1063.72,1066.51,211.72,0
10,1114.39,1063.74,1066.49,211.33,0
11,1114.33,1063.72,1066.50,213.28,0
12,1114.40,1063.73,1066.50,212.89,0
13,1114.34,1063.68,1066.48,213.28,0
14,1114.34,1063.72,1066.52,212.50,0
15,1114.34,1063.74,1066.48,211.33,0
16,1114.34,1063.68,1066.53,212.50,0
17,1114.34,1063.73,1066.51,213.28,0
18,1114.35,1063.75,1066.53,210.94,0
19,1114.34,1063.71,1066.53,210.55,0
20,1114.34,1063.74,1066.48,213.67,0
21,1114.38,1063.71,1066.50,212.50,0
22,1114.32,1063.73,1066.52,210.94,0
23,1114.31,1063.70,1066.52,210.94,0
24,1114.38,1063.74,1066.50,210.94,0
25,1114.29,1063.75,1066.51,210.55,0
26,1114.29,1063.73,1066.52,210.55,0
27,1114.33,1063.73,1066.53,212.89,0
28,1114.34,1063.74,1066.51,210.94,0
29,1114.35,1063.72,1066.50,210.94,0
30,1114.39,1063.76,1066.52,210.94,0
31,1114.33,1063.76,1066.51,213.28,0
32,1114.38,1063.73,1066.53,212.50,0
33,1114.39,1063.74,1066.51,213.67,0
34,1114.36,1063.76,1066.53,212.89,0
35,1114.35,1063.74,1066.54,210.94,0
36,1114.37,1063.77,1066.48,211.72,0
37,1114.35,1063.74,1066.50,211.33,0
38,1114.37,1063.73,1066.52,211.33,0
39,1114.38,1063.77,1066.52,213.28,0
40,1114.33,1063.77,1066.52,213.28,0
41,1114.36,1063.79,1066.52,212.50,0
42,1114.35,1063.76,1066.47,211.33,0
43,1114.31,1063.77,1066.52,212.11,0
44,1114.30,1063.77,1066.48,211.33,0
45,1114.31,1063.75,1066.54,211.33,0
46,1114.32,1063.76,1066.52,210.55,0
47,1114.36,1063.75,1066.55,213.28,0
48,1114.33,1063.76,1066.48,212.89,0
49,1114.31,1063.77,1066.49,211.33,0
50,1114.27,1063.79,1066.51,211.33,0
51,1114.35,1063.78,1066.49,212.89,0
52,1114.32,1063.80,1066.51,213.67,0
53,1114.33,1063.76,1066.54,213.28,0
54,1114.30,1063.80,1066.54,211.33,0
55,1114.30,1063.76,1066.55,211.72,0
56,1114.30,1063.77,1066.53,213.67,0
57,1114.33,1063.78,1066.53,212.11,0
58,1114.33,1063.78,1066.51,210.94,0
59,1114.36,1063.79,1066.51,210.94,0
60,1114.30,1063.80,1066.53,212.11,0
61,1114.30,1063.79,1066.51,210.55,0
62,1114.33,1063.82,1066.52,211.33,0
63,1114.35,1063.78,1066.52,212.89,0
64,1114.36,1063.79,1066.51,211.33,0
65,1114.33,1063.77,1066.54,211.33,0
66,1114.28,1063.79,1066.55,212.50,0
67,1114.29,1063.75,1066.51,213.67,0
68,1114.31,1063.77,1066.56,212.89,0
69,1114.28,1063.81,1066.56,213.28,0
70,1114.31,1063.82,1066.55,213.28,0
71,1114.29,1063.79,1066.50,212.11,0
72,1114.33,1063.84,1066.51,212.89,0
73,1114.37,1063.80,1066.54,210.55,0
74,1114.35,1063.77,1066.55,213.28,0
75,1114.29,1063.80,1066.56,211.72,0
76,1114.29,1063.81,1066.54,211.72,0
77,1114.34,1063.78,1066.54,211.72,0
78,1114.34,1063.81,1066.49,211.33,0
79,1114.32,1063.79,1066.55,211.33,0
80,1114.36,1063.81,1066.53,211.33,0
81,1114.33,1063.79,1066.52,213.67,0
82,1114.36,1063.82,1066.55,211.72,0
83,1114.31,1063.79,1066.55,210.94,0
84,1114.32,1063.83,1066.52,212.50,0
85,1114.36,1063.79,1066.51,212.89,0
86,1114.27,1063.84,1066.54,212.89,0
87,1114.30,1063.82,1066.54,211.33,0
88,1114.34,1063.80,1066.52,212.11,0
89,1114.30,1063.84,1066.52,212.89,0
90,1114.37,1063.82,1066.54,212.11,0
91,1114.32,1063.82,1066.52,212.89,0
92,1114.31,1063.79,1066.56,211.33,0
93,1114.37,1063.80,1066.52,211.33,0
94,1114.38,1063.78,1066.53,213.28,0
95,1114.33,1063.86,1066.53,213.67,0
96,1114.35,1063.82,1066.51,212.50,0
97,1114.31,1063.82,1066.54,211.72,0
98,1114.27,1063.82,1066.51,210.16,0
99,1114.36,1063.83,1066.55,211.33,0
100,1114.27,1063.85,1066.55,213.28,0
101,1114.42,1063.85,1066.53,212.89,0
102,1114.25,1063.85,1066.55,210.94,0
103,1114.38,1063.84,1066.55,213.28,0
104,1114.30,1063.81,1066.53,211.33,0
105,1114.25,1063.84,1066.56,211.33,0
106,1114.31,1063.84,1066.54,211.33,0
