,0,1,2,3,4
0,1051.44,1051.46,1051.87,218.36,0
1,1051.44,1051.52,1051.9,218.36,0
3,1051.46,1051.5,1051.91,219.92,0
4,1051.44,1051.46,1051.87,218.36,0
5,1051.44,1051.52,1051.9,218.36,0
6,1051.42,1051.46,1051.89,217.97,0
7,1051.37,1051.55,1051.92,219.14,0
8,1051.34,1051.52,1052.02,219.92,0
9,1051.36,1051.54,1052.03,218.36,0
10,1051.45,1051.53,1052.01,218.36,0
11,1051.42,1051.51,1051.94,220.31,0
12,1051.41,1051.45,1051.9,218.75,0
13,1051.47,1051.49,1051.89,219.53,0
14,1051.42,1051.49,1051.95,219.92,0
15,1051.41,1051.57,1051.96,220.31,0
16,1051.39,1051.53,1051.95,218.36,0
17,1051.42,1051.6,1052.04,218.36,0
18,1051.39,1051.53,1051.99,218.75,0
19,1051.43,1051.5,1051.91,219.14,0
20,1051.45,1051.5,1051.88,220.31,0
21,1051.43,1051.51,1051.91,218.36,0
22,1051.45,1051.51,1051.91,219.92,0
23,1051.42,1051.57,1052.01,218.36,0
24,1051.4,1051.58,1052.02,220.7,0
25,1051.42,1051.57,1052.01,218.75,0
26,1051.46,1051.51,1051.96,219.92,0
27,1051.46,1051.49,1051.95,218.75,0
28,1051.42,1051.48,1051.88,219.92,0
29,1051.47,1051.5,1051.87,219.92,0
30,1051.4,1051.53,1052,219.53,0
31,1051.43,1051.56,1051.95,219.14,0
32,1051.4,1051.58,1052,217.97,0
33,1051.45,1051.59,1052.03,218.75,0
34,1051.42,1051.52,1051.99,219.92,0
35,1051.45,1051.47,1051.92,219.53,0
36,1051.45,1051.51,1051.92,218.36,0
37,1051.46,1051.51,1051.9,217.97,0
38,1051.41,1051.51,1051.9,219.53,0
39,1051.4,1051.59,1052.01,219.92,0
40,1051.41,1051.62,1052.03,218.36,0
41,1051.47,1051.55,1052.04,220.7,0
42,1051.42,1051.55,1051.97,218.36,0
43,1051.48,1051.55,1051.93,219.14,0
44,1051.42,1051.47,1051.89,219.92,0
45,1051.47,1051.53,1051.88,220.31,0
46,1051.42,1051.54,1051.98,217.97,0
47,1051.41,1051.59,1052.02,219.53,0
48,1051.41,1051.56,1052.02,219.92,0
49,1051.45,1051.58,1052.04,218.36,0
50,1051.45,1051.5,1051.98,219.14,0
51,1051.45,1051.51,1051.91,217.97,0
52,1051.47,1051.49,1051.86,219.92,0
53,1051.43,1051.53,1051.95,217.97,0
54,1051.41,1051.57,1051.98,219.92,0
55,1051.38,1051.57,1052.02,218.36,0
56,1051.39,1051.56,1052.04,218.75,0
57,1051.43,1051.56,1052.05,220.31,0
58,1051.46,1051.52,1051.94,218.36,0
59,1051.47,1051.49,1051.9,220.7,0
60,1051.45,1051.51,1051.91,219.92,0
61,1051.46,1051.54,1051.91,220.31,0
62,1051.43,1051.53,1051.97,219.14,0
63,1051.41,1051.61,1052.02,218.36,0
64,1051.41,1051.54,1052.04,218.36,0
65,1051.48,1051.56,1052,219.92,0
66,1051.43,1051.51,1051.96,218.75,0
67,1051.44,1051.5,1051.86,219.92,0
68,1051.45,1051.5,1051.89,217.97,0
69,1051.43,1051.53,1051.91,218.75,0
70,1051.37,1051.54,1051.97,220.31,0
71,1051.43,1051.58,1052.05,218.36,0
72,1051.39,1051.6,1052.05,218.75,0
73,1051.4,1051.53,1052.04,218.75,0
74,1051.48,1051.54,1051.96,218.36,0
75,1051.49,1051.5,1051.89,218.75,0
76,1051.43,1051.46,1051.91,219.92,0
77,1051.44,1051.51,1051.88,217.97,0
78,1051.42,1051.57,1051.98,218.36,0
79,1051.38,1051.59,1052.03,219.14,0
80,1051.4,1051.58,1052.07,220.31,0
81,1051.44,1051.52,1051.99,218.75,0
82,1051.43,1051.54,1051.99,218.75,0
83,1051.42,1051.5,1051.9,220.31,0
84,1051.49,1051.54,1051.89,218.75,0
85,1051.41,1051.54,1051.93,218.75,0
86,1051.4,1051.57,1051.94,219.92,0
87,1051.41,1051.55,1052,218.36,0
88,1051.42,1051.6,1052.07,218.36,0
89,1051.42,1051.53,1052.04,219.14,0
90,1051.46,1051.54,1051.97,219.14,0
91,1051.45,1051.49,1051.9,218.75,0
92,1051.43,1051.47,1051.88,219.53,0
93,1051.43,1051.52,1051.89,219.53,0
94,1051.43,1051.55,1051.98,218.75,0
95,1051.41,1051.59,1052.04,219.92,0
96,1051.43,1051.57,1052.02,219.53,0
97,1051.45,1051.56,1052.01,219.92,0
98,1051.41,1051.49,1052,218.75,0
99,1051.46,1051.49,1051.89,218.36,0
100,1051.44,1051.46,1051.86,218.75,0
101,1051.45,1051.55,1051.93,218.75,0
102,1051.39,1051.53,1051.95,218.75,0
103,1051.4,1051.58,1052.02,218.75,0
104,1051.41,1051.59,1052.03,218.75,0
105,1051.43,1051.57,1052.03,218.75,0
106,1051.45,1051.51,1051.98,220.31,0
107,1051.47,1051.54,1051.88,219.92,0
108,1051.43,1051.47,1051.89,220.31,0
109,1051.46,1051.55,1051.89,218.75,0
110,1051.4,1051.53,1051.97,218.36,0
111,1051.44,1051.6,1052.02,218.75,0
112,1051.4,1051.57,1052.01,218.75,0
113,1051.48,1051.64,1052.06,218.36,0
114,1051.44,1051.49,1051.96,219.92,0
