,0,1,2,3,4
0,1049.94,1050.49,1049.92,217.97,0
1,1049.94,1050.38,1049.82,217.97,0
2,1049.94,1050.44,1049.84,218.75,0
3,1049.94,1050.49,1049.92,217.97,0
4,1049.98,1050.42,1049.85,220.31,0
5,1049.95,1050.48,1049.93,218.36,0
6,1049.91,1050.47,1049.95,219.14,0
7,1049.96,1050.51,1050.03,218.75,0
8,1049.95,1050.42,1049.94,218.75,0
9,1050.04,1050.43,1049.94,219.92,0
10,1050.00,1050.37,1049.84,219.14,0
11,1050.01,1050.40,1049.81,219.14,0
12,1049.96,1050.40,1049.83,219.53,0
13,1050.00,1050.47,1049.95,218.36,0
14,1049.93,1050.47,1049.93,219.92,0
15,1049.94,1050.56,1050.03,218.75,0
16,1049.97,1050.50,1050.03,217.97,0
17,1050.01,1050.50,1049.98,220.70,0
18,1050.02,1050.43,1049.89,219.92,0
19,1050.04,1050.38,1049.85,217.97,0
20,1050.03,1050.34,1049.83,219.53,0
21,1049.96,1050.40,1049.90,219.92,0
22,1049.97,1050.48,1049.95,219.53,0
23,1049.97,1050.49,1050.02,218.75,0
24,1049.95,1050.50,1050.06,217.97,0
25,1050.03,1050.53,1050.06,216.80,0
26,1049.99,1050.45,1049.97,219.92,0
27,1050.04,1050.42,1049.89,219.14,0
28,1050.06,1050.40,1049.88,217.97,0
29,1050.04,1050.38,1049.81,218.36,0
30,1050.03,1050.40,1049.85,217.97,0
31,1050.04,1050.47,1049.92,217.58,0
32,1050.00,1050.51,1050.00,220.31,0
33,1049.96,1050.51,1049.99,218.36,0
34,1049.98,1050.52,1050.08,218.75,0
35,1049.98,1050.47,1050.00,218.36,0
36,1050.06,1050.44,1049.92,217.97,0
37,1050.06,1050.42,1049.83,219.92,0
38,1050.02,1050.41,1049.82,218.36,0
39,1050.02,1050.42,1049.86,219.92,0
40,1050.03,1050.47,1049.95,218.36,0
41,1049.95,1050.51,1050.00,219.92,0
42,1049.94,1050.51,1050.04,219.14,0
43,1050.02,1050.54,1050.04,218.36,0
44,1049.96,1050.47,1049.97,218.36,0
45,1050.01,1050.41,1049.91,218.36,0
46,1050.04,1050.41,1049.86,218.36,0
47,1050.00,1050.41,1049.89,218.36,0
48,1049.98,1050.41,1049.90,219.53,0
49,1049.98,1050.51,1050.01,218.36,0
50,1049.94,1050.54,1050.02,217.97,0
51,1050.01,1050.55,1050.03,219.53,0
52,1050.02,1050.43,1049.97,219.14,0
53,1050.08,1050.43,1049.91,219.14,0
54,1050.02,1050.42,1049.86,219.53,0
55,1050.07,1050.42,1049.85,219.53,0
56,1049.99,1050.48,1049.88,219.92,0
57,1049.99,1050.50,1049.96,218.36,0
58,1049.99,1050.53,1049.99,219.92,0
59,1050.03,1050.57,1050.03,217.97,0
60,1049.99,1050.44,1050.02,218.36,0
61,1050.05,1050.49,1049.90,219.53,0
62,1050.07,1050.37,1049.85,217.58,0
63,1050.07,1050.42,1049.84,219.53,0
64,1050.01,1050.42,1049.84,219.53,0
65,1050.02,1050.51,1049.98,219.53,0
66,1049.93,1050.48,1049.97,218.36,0
67,1049.98,1050.61,1050.08,217.97,0
68,1050.00,1050.55,1050.07,219.92,0
69,1049.99,1050.47,1050.01,218.36,0
70,1050.04,1050.44,1049.91,217.97,0
71,1050.04,1050.44,1049.92,217.58,0
72,1049.98,1050.36,1049.80,219.14,0
73,1050.02,1050.46,1049.83,217.97,0
74,1050.01,1050.41,1049.85,218.36,0
75,1049.93,1050.49,1049.94,218.75,0
76,1049.96,1050.54,1050.03,219.92,0
77,1049.99,1050.56,1050.09,219.53,0
78,1049.96,1050.47,1050.05,217.97,0
79,1050.06,1050.52,1050.04,218.36,0
80,1050.03,1050.43,1049.89,219.92,0
81,1050.05,1050.41,1049.86,218.36,0
82,1050.05,1050.36,1049.78,219.92,0
83,1050.05,1050.40,1049.83,219.92,0
84,1049.99,1050.47,1049.88,218.75,0
85,1049.98,1050.56,1050.00,219.53,0
86,1049.96,1050.57,1050.09,216.80,0
87,1049.95,1050.57,1050.08,219.53,0
88,1050.00,1050.51,1050.07,219.53,0
89,1050.02,1050.46,1049.94,219.92,0
90,1050.06,1050.37,1049.82,217.97,0
91,1050.12,1050.40,1049.81,218.36,0
92,1050.01,1050.45,1049.85,220.31,0
93,1049.97,1050.45,1049.91,219.92,0
94,1049.97,1050.53,1049.99,218.75,0
95,1049.99,1050.57,1050.07,219.92,0
96,1049.98,1050.53,1050.06,219.53,0
97,1050.05,1050.49,1049.98,218.36,0
98,1050.07,1050.41,1049.92,219.14,0
99,1050.03,1050.38,1049.83,219.92,0
100,1050.00,1050.41,1049.81,218.36,0
101,1050.05,1050.47,1049.88,218.36,0
102,1049.94,1050.46,1049.96,219.92,0
103,1049.96,1050.52,1050.01,218.36,0
104,1050.02,1050.58,1050.08,217.97,0
105,1049.95,1050.50,1050.04,217.97,0
106,1050.04,1050.49,1050.00,217.97,0
107,1050.05,1050.43,1049.92,218.36,0
108,1050.01,1050.40,1049.86,218.36,0
109,1050.06,1050.41,1049.83,219.92,0
110,1050.04,1050.40,1049.85,217.97,0
111,1049.95,1050.39,1049.87,218.36,0
112,1050.01,1050.53,1049.99,219.92,0
113,1049.92,1050.51,1050.04,219.53,0
114,1049.91,1050.53,1050.04,217.97,0
115,1049.98,1050.54,1050.04,219.53,0
116,1050.02,1050.47,1049.97,219.53,0
117,1050.02,1050.37,1049.86,219.14,0
118,1050.09,1050.39,1049.81,219.92,0
119,1050.02,1050.37,1049.80,218.36,0
120,1050.02,1050.44,1049.87,218.36,0
121,1050.00,1050.50,1049.98,218.36,0
122,1049.95,1050.55,1050.04,218.75,0
123,1049.95,1050.53,1050.06,219.92,0
124,1050.01,1050.54,1050.07,217.58,0
125,1050.02,1050.45,1050.01,218.36,0
126,1050.02,1050.41,1049.89,217.58,0
127,1050.06,1050.42,1049.79,218.36,0
128,1050.02,1050.38,1049.80,219.53,0
129,1049.97,1050.39,1049.84,217.97,0
130,1050.01,1050.48,1049.94,217.97,0
131,1049.98,1050.56,1050.01,218.75,0
